Estação de origem,Estação de Destino,contagem_viagens
EQS 104/304,EQN 408/409,1
EQS 104/304,EQS 104/304,73
EQS 104/304,EQS 202 / 203,37
EQS 104/304,EQS 204/205,5
EQS 104/304,Galeria,20
EQS 104/304,ICC Sul,1
EQS 104/304,Instituto de Artes,2
EQS 104/304,Liberty Mall,1
EQS 104/304,Memorial JK,2
EQS 104/304,Ministério da Cultura,6
EQS 104/304,Ministério da Defesa,6
EQS 104/304,Ministério da Saude,10
EQS 104/304,Ministério do Planejamento,2
EQS 104/304,Ministério dos Transportes,7
EQS 104/304,PAT,3
EQS 104/304,Praça Buriti,5
EQS 104/304,Praça do Povo,7
EQS 104/304,Rodoviária,16
EQS 104/304,Rodoviária 2,10
EQS 104/304,Rodoviária 3,7
EQS 104/304,SAS,4
EQS 104/304,SQN 205,2
EQS 104/304,SQS 305,41
EQS 104/304,SRTVS,18
EQS 104/304,STF,2
EQS 104/304,Setor Hoteleiro Norte,5
EQS 104/304,Shopping Mall,19
EQS 104/304,Shopping Pátio Brasil,10
EQS 104/304,TSE,1
EQS 104/304,Torre de TV,2
EQS 104/304,W2/EQN305/306,2
EQS 202 / 203,102 Sul,11
EQS 202 / 203,Banco Central,31
EQS 202 / 203,Brasil 21,10
EQS 202 / 203,Brasília Shopping,3
EQS 202 / 203,CLN 204,2
EQS 202 / 203,CLN 403,5
EQS 202 / 203,CLN 406,6
EQS 202 / 203,CNMP - Conselho Nacional do Ministério Público,17
EQS 202 / 203,Catedral Metropolitana,8
EQS 202 / 203,Centro de Convenções,2
EQS 202 / 203,EQN 104/105,2
EQS 202 / 203,EQN 408/409,2
EQS 202 / 203,EQN 410/411,2
EQS 202 / 203,EQS 104/304,24
EQS 202 / 203,EQS 202 / 203,101
EQS 202 / 203,EQS 204/205,70
EQS 202 / 203,Galeria,6
EQS 202 / 203,ICC Sul,5
EQS 202 / 203,INMETRO,2
EQS 202 / 203,Instituto de Artes,10
EQS 202 / 203,Liberty Mall,14
EQS 202 / 203,Memorial JK,1
EQS 202 / 203,Ministério da Cultura,10
EQS 202 / 203,Ministério da Defesa,10
EQS 202 / 203,Ministério da Saude,5
EQS 202 / 203,Ministério do Planejamento,8
EQS 202 / 203,Ministério dos Transportes,2
EQS 202 / 203,PAT,1
EQS 202 / 203,Praça do Povo,3
EQS 202 / 203,Rodoviária,19
EQS 202 / 203,Rodoviária 2,35
EQS 202 / 203,Rodoviária 3,5
EQS 202 / 203,SAS,18
EQS 202 / 203,SQN 205,3
EQS 202 / 203,SQS 305,19
EQS 202 / 203,SRTVS,18
EQS 202 / 203,STF,4
EQS 202 / 203,Shopping Mall,20
EQS 202 / 203,Shopping Pátio Brasil,1
EQS 202 / 203,TSE,40
EQS 202 / 203,W2/EQN305/306,9
EQS 204/205,102 Sul,44
EQS 204/205,Banco Central,53
EQS 204/205,Brasil 21,11
EQS 204/205,Brasília Shopping,16
EQS 204/205,CLN 204,1
EQS 204/205,CLN 403,11
EQS 204/205,CLN 406,1
EQS 204/205,CNMP - Conselho Nacional do Ministério Público,2
EQS 204/205,Catedral Metropolitana,12
EQS 204/205,Centro de Convenções,1
EQS 204/205,Deck Sul,3
EQS 204/205,EQN 104/105,2
EQS 204/205,EQN 408/409,1
EQS 204/205,EQN 410/411,2
EQS 204/205,EQS 104/304,17
EQS 204/205,EQS 202 / 203,65
EQS 204/205,EQS 204/205,219
EQS 204/205,Galeria,3
EQS 204/205,ICC Sul,2
EQS 204/205,INMETRO,4
EQS 204/205,Instituto de Artes,4
EQS 204/205,Liberty Mall,21
EQS 204/205,Ministério da Cultura,10
EQS 204/205,Ministério da Defesa,11
EQS 204/205,Ministério da Saude,10
EQS 204/205,Ministério do Planejamento,1
EQS 204/205,Ministério dos Transportes,2
EQS 204/205,PAT,1
EQS 204/205,Praça do Povo,5
EQS 204/205,Rodoviária,19
EQS 204/205,Rodoviária 2,23
EQS 204/205,Rodoviária 3,3
EQS 204/205,SAS,44
EQS 204/205,SQN 205,6
EQS 204/205,SQS 305,27
EQS 204/205,SRTVS,8
EQS 204/205,STF,6
EQS 204/205,Setor Hoteleiro Norte,5
EQS 204/205,Shopping Mall,32
EQS 204/205,Shopping Pátio Brasil,8
EQS 204/205,TSE,7
EQS 204/205,Torre de TV,5
EQS 204/205,W2/EQN305/306,5
Galeria,102 Sul,35
Galeria,Banco Central,23
Galeria,Biblioteca Central,3
Galeria,Brasil 21,68
Galeria,Brasília Shopping,23
Galeria,CLN 204,3
Galeria,CLN 403,26
Galeria,CLN 406,2
Galeria,CNMP - Conselho Nacional do Ministério Público,25
Galeria,Catedral Metropolitana,3
Galeria,Centro Olímpico,3
Galeria,Centro de Convenções,13
Galeria,Deck Sul,5
Galeria,EQN 104/105,5
Galeria,EQN 408/409,7
Galeria,EQN 410/411,7
Galeria,EQS 104/304,48
Galeria,EQS 202 / 203,8
Galeria,EQS 204/205,38
Galeria,Galeria,76
Galeria,ICC Sul,4
Galeria,INMETRO,4
Galeria,Instituto de Artes,8
Galeria,Liberty Mall,27
Galeria,Memorial JK,11
Galeria,Ministério da Cultura,10
Galeria,Ministério da Defesa,28
Galeria,Ministério da Saude,4
Galeria,Ministério do Planejamento,16
Galeria,Ministério dos Transportes,10
Galeria,PAT,4
Galeria,Praça Buriti,2
Galeria,Praça do Povo,18
Galeria,Rodoviária,31
Galeria,Rodoviária 2,13
Galeria,Rodoviária 3,17
Galeria,SAS,8
Galeria,SQN 205,2
Galeria,SQS 305,21
Galeria,SRTVS,70
Galeria,STF,11
Galeria,Setor Hoteleiro Norte,4
Galeria,Shopping Mall,32
Galeria,Shopping Pátio Brasil,43
Galeria,TSE,16
Galeria,Torre de TV,7
Galeria,W2/EQN305/306,20
ICC Sul,102 Sul,1
ICC Sul,Banco Central,5
ICC Sul,Biblioteca Central,93
ICC Sul,Brasil 21,1
ICC Sul,Brasília Shopping,3
ICC Sul,CLN 204,52
ICC Sul,CLN 403,49
ICC Sul,CLN 406,114
ICC Sul,Catedral Metropolitana,34
ICC Sul,Centro Olímpico,640
ICC Sul,EQN 104/105,8
ICC Sul,EQN 408/409,104
ICC Sul,EQN 410/411,68
ICC Sul,EQS 104/304,1
ICC Sul,EQS 202 / 203,3
ICC Sul,EQS 204/205,11
ICC Sul,Galeria,2
ICC Sul,ICC Sul,169
ICC Sul,INMETRO,12
ICC Sul,Instituto de Artes,102
ICC Sul,Liberty Mall,1
ICC Sul,Memorial JK,1
ICC Sul,Ministério da Cultura,12
ICC Sul,Ministério da Defesa,1
ICC Sul,Ministério da Saude,6
ICC Sul,Ministério do Planejamento,2
ICC Sul,Ministério dos Transportes,2
ICC Sul,PAT,142
ICC Sul,Praça Buriti,2
ICC Sul,Praça do Povo,3
ICC Sul,Rodoviária,62
ICC Sul,Rodoviária 2,12
ICC Sul,Rodoviária 3,4
ICC Sul,SQN 205,36
ICC Sul,SQS 305,1
ICC Sul,STF,1
ICC Sul,Setor Hoteleiro Norte,1
ICC Sul,Shopping Pátio Brasil,3
ICC Sul,W2/EQN305/306,26
INMETRO,102 Sul,2
INMETRO,Banco Central,5
INMETRO,Biblioteca Central,10
INMETRO,Brasil 21,3
INMETRO,Brasília Shopping,17
INMETRO,CLN 204,43
INMETRO,CLN 403,11
INMETRO,CLN 406,26
INMETRO,CNMP - Conselho Nacional do Ministério Público,1
INMETRO,Centro Olímpico,10
INMETRO,Centro de Convenções,10
INMETRO,EQN 104/105,101
INMETRO,EQN 408/409,9
INMETRO,EQN 410/411,10
INMETRO,EQS 202 / 203,3
INMETRO,EQS 204/205,5
INMETRO,Galeria,5
INMETRO,ICC Sul,22
INMETRO,INMETRO,96
INMETRO,Instituto de Artes,38
INMETRO,Liberty Mall,37
INMETRO,Memorial JK,7
INMETRO,Ministério da Cultura,2
INMETRO,Ministério da Saude,11
INMETRO,Ministério do Planejamento,1
INMETRO,PAT,21
INMETRO,Praça Buriti,8
INMETRO,Praça do Povo,1
INMETRO,Rodoviária,27
INMETRO,Rodoviária 2,6
INMETRO,Rodoviária 3,18
INMETRO,SAS,2
INMETRO,SQN 205,14
INMETRO,SQS 305,8
INMETRO,SRTVS,2
INMETRO,Setor Hoteleiro Norte,1
INMETRO,Shopping Pátio Brasil,6
INMETRO,Torre de TV,5
INMETRO,W2/EQN305/306,31
Instituto de Artes,102 Sul,3
Instituto de Artes,Biblioteca Central,121
Instituto de Artes,Brasil 21,2
Instituto de Artes,Brasília Shopping,5
Instituto de Artes,CLN 204,48
Instituto de Artes,CLN 403,51
Instituto de Artes,CLN 406,277
Instituto de Artes,Catedral Metropolitana,1
Instituto de Artes,Centro Olímpico,623
Instituto de Artes,Centro de Convenções,5
Instituto de Artes,EQN 104/105,25
Instituto de Artes,EQN 408/409,369
Instituto de Artes,EQN 410/411,276
Instituto de Artes,EQS 104/304,3
Instituto de Artes,EQS 202 / 203,5
Instituto de Artes,EQS 204/205,3
Instituto de Artes,Galeria,5
Instituto de Artes,ICC Sul,144
Instituto de Artes,INMETRO,10
Instituto de Artes,Instituto de Artes,163
Instituto de Artes,Liberty Mall,10
Instituto de Artes,Memorial JK,2
Instituto de Artes,Ministério da Cultura,1
Instituto de Artes,Ministério da Defesa,1
Instituto de Artes,Ministério da Saude,5
Instituto de Artes,Ministério do Planejamento,8
Instituto de Artes,Ministério dos Transportes,1
Instituto de Artes,PAT,187
Instituto de Artes,Praça Buriti,2
Instituto de Artes,Praça do Povo,4
Instituto de Artes,Rodoviária,90
Instituto de Artes,Rodoviária 2,10
Instituto de Artes,Rodoviária 3,11
Instituto de Artes,SAS,4
Instituto de Artes,SQN 205,82
Instituto de Artes,SQS 305,3
Instituto de Artes,SRTVS,4
Instituto de Artes,STF,1
Instituto de Artes,Setor Hoteleiro Norte,1
Instituto de Artes,Shopping Pátio Brasil,1
Instituto de Artes,Torre de TV,2
Instituto de Artes,W2/EQN305/306,43
Liberty Mall,102 Sul,4
Liberty Mall,Banco Central,13
Liberty Mall,Biblioteca Central,2
Liberty Mall,Brasil 21,8
Liberty Mall,Brasília Shopping,32
Liberty Mall,CLN 204,21
Liberty Mall,CLN 403,7
Liberty Mall,CLN 406,7
Liberty Mall,CNMP - Conselho Nacional do Ministério Público,2
Liberty Mall,Catedral Metropolitana,8
Liberty Mall,Centro de Convenções,2
Liberty Mall,EQN 104/105,37
Liberty Mall,EQN 408/409,7
Liberty Mall,EQN 410/411,13
Liberty Mall,EQS 104/304,3
Liberty Mall,EQS 202 / 203,6
Liberty Mall,EQS 204/205,17
Liberty Mall,Galeria,23
Liberty Mall,ICC Sul,8
Liberty Mall,INMETRO,24
Liberty Mall,Instituto de Artes,23
Liberty Mall,Liberty Mall,26
Liberty Mall,Ministério da Cultura,8
Liberty Mall,Ministério da Defesa,1
Liberty Mall,Ministério da Saude,17
Liberty Mall,Ministério do Planejamento,2
Liberty Mall,Ministério dos Transportes,1
Liberty Mall,PAT,8
Liberty Mall,Praça Buriti,21
Liberty Mall,Praça do Povo,4
Liberty Mall,Rodoviária,16
Liberty Mall,Rodoviária 2,9
Liberty Mall,Rodoviária 3,11
Liberty Mall,SAS,2
Liberty Mall,SQN 205,8
Liberty Mall,SQS 305,10
Liberty Mall,SRTVS,6
Liberty Mall,STF,5
Liberty Mall,Setor Hoteleiro Norte,3
Liberty Mall,Shopping Mall,7
Liberty Mall,Shopping Pátio Brasil,7
Liberty Mall,TSE,1
Liberty Mall,W2/EQN305/306,56
Memorial JK,102 Sul,7
Memorial JK,Banco Central,7
Memorial JK,Biblioteca Central,1
Memorial JK,Brasil 21,34
Memorial JK,Brasília Shopping,31
Memorial JK,CLN 204,6
Memorial JK,CLN 403,3
Memorial JK,CLN 406,4
Memorial JK,Catedral Metropolitana,7
Memorial JK,Centro Olímpico,1
Memorial JK,Centro de Convenções,24
Memorial JK,EQN 104/105,2
Memorial JK,EQN 408/409,4
Memorial JK,EQN 410/411,13
Memorial JK,EQS 104/304,3
Memorial JK,EQS 202 / 203,1
Memorial JK,EQS 204/205,1
Memorial JK,Galeria,15
Memorial JK,ICC Sul,2
Memorial JK,INMETRO,7
Memorial JK,Instituto de Artes,8
Memorial JK,Liberty Mall,5
Memorial JK,Memorial JK,125
Memorial JK,Ministério da Cultura,16
Memorial JK,Ministério da Saude,4
Memorial JK,Ministério do Planejamento,3
Memorial JK,Ministério dos Transportes,10
Memorial JK,Praça Buriti,28
Memorial JK,Praça do Povo,12
Memorial JK,Rodoviária,35
Memorial JK,Rodoviária 2,54
Memorial JK,Rodoviária 3,133
Memorial JK,SAS,7
Memorial JK,SQN 205,24
Memorial JK,SQS 305,7
Memorial JK,SRTVS,6
Memorial JK,STF,13
Memorial JK,Setor Hoteleiro Norte,31
Memorial JK,Shopping Mall,7
Memorial JK,Shopping Pátio Brasil,29
Memorial JK,Torre de TV,33
Memorial JK,W2/EQN305/306,23
Ministério da Cultura,102 Sul,5
Ministério da Cultura,Banco Central,3
Ministério da Cultura,Brasil 21,5
Ministério da Cultura,Brasília Shopping,5
Ministério da Cultura,CLN 204,2
Ministério da Cultura,CLN 403,15
Ministério da Cultura,CLN 406,2
Ministério da Cultura,CNMP - Conselho Nacional do Ministério Público,14
Ministério da Cultura,Catedral Metropolitana,32
Ministério da Cultura,Centro Olímpico,1
Ministério da Cultura,EQN 104/105,2
Ministério da Cultura,EQN 408/409,11
Ministério da Cultura,EQN 410/411,4
Ministério da Cultura,EQS 104/304,8
Ministério da Cultura,EQS 202 / 203,14
Ministério da Cultura,EQS 204/205,2
Ministério da Cultura,Galeria,8
Ministério da Cultura,ICC Sul,7
Ministério da Cultura,INMETRO,3
Ministério da Cultura,Instituto de Artes,4
Ministério da Cultura,Liberty Mall,1
Ministério da Cultura,Memorial JK,2
Ministério da Cultura,Ministério da Cultura,94
Ministério da Cultura,Ministério da Defesa,2
Ministério da Cultura,Ministério da Saude,19
Ministério da Cultura,Ministério do Planejamento,27
Ministério da Cultura,Ministério dos Transportes,21
Ministério da Cultura,PAT,2
Ministério da Cultura,Praça Buriti,2
Ministério da Cultura,Praça do Povo,1
Ministério da Cultura,Rodoviária,183
Ministério da Cultura,Rodoviária 2,232
Ministério da Cultura,Rodoviária 3,65
Ministério da Cultura,SAS,11
Ministério da Cultura,SQN 205,5
Ministério da Cultura,SQS 305,3
Ministério da Cultura,SRTVS,1
Ministério da Cultura,STF,40
Ministério da Cultura,Setor Hoteleiro Norte,2
Ministério da Cultura,Shopping Mall,2
Ministério da Cultura,Shopping Pátio Brasil,4
Ministério da Cultura,TSE,6
Ministério da Cultura,W2/EQN305/306,4
Ministério da Defesa,102 Sul,2
Ministério da Defesa,Banco Central,5
Ministério da Defesa,Biblioteca Central,2
Ministério da Defesa,Brasil 21,1
Ministério da Defesa,CLN 204,16
Ministério da Defesa,CLN 403,13
Ministério da Defesa,CLN 406,13
Ministério da Defesa,CNMP - Conselho Nacional do Ministério Público,2
Ministério da Defesa,Catedral Metropolitana,10
Ministério da Defesa,EQN 104/105,4
Ministério da Defesa,EQN 408/409,2
Ministério da Defesa,EQN 410/411,3
Ministério da Defesa,EQS 104/304,3
Ministério da Defesa,EQS 202 / 203,12
Ministério da Defesa,EQS 204/205,1
Ministério da Defesa,Galeria,4
Ministério da Defesa,ICC Sul,3
Ministério da Defesa,INMETRO,9
Ministério da Defesa,Instituto de Artes,9
Ministério da Defesa,Liberty Mall,3
Ministério da Defesa,Memorial JK,1
Ministério da Defesa,Ministério da Cultura,5
Ministério da Defesa,Ministério da Defesa,41
Ministério da Defesa,Ministério da Saude,1
Ministério da Defesa,Ministério do Planejamento,12
Ministério da Defesa,Ministério dos Transportes,8
Ministério da Defesa,PAT,1
Ministério da Defesa,Praça Buriti,3
Ministério da Defesa,Praça do Povo,2
Ministério da Defesa,Rodoviária,230
Ministério da Defesa,Rodoviária 2,41
Ministério da Defesa,Rodoviária 3,16
Ministério da Defesa,SAS,2
Ministério da Defesa,SQN 205,2
Ministério da Defesa,SQS 305,6
Ministério da Defesa,SRTVS,3
Ministério da Defesa,STF,3
Ministério da Defesa,Shopping Mall,1
Ministério da Defesa,Shopping Pátio Brasil,2
Ministério da Defesa,TSE,2
Ministério da Defesa,W2/EQN305/306,3
Ministério da Saude,102 Sul,7
Ministério da Saude,Banco Central,2
Ministério da Saude,Biblioteca Central,3
Ministério da Saude,Brasília Shopping,13
Ministério da Saude,CLN 204,7
Ministério da Saude,CLN 403,21
Ministério da Saude,CLN 406,2
Ministério da Saude,CNMP - Conselho Nacional do Ministério Público,27
Ministério da Saude,Catedral Metropolitana,54
Ministério da Saude,Centro Olímpico,1
Ministério da Saude,Centro de Convenções,1
Ministério da Saude,EQN 104/105,1
Ministério da Saude,EQN 408/409,6
Ministério da Saude,EQN 410/411,21
Ministério da Saude,EQS 104/304,12
Ministério da Saude,EQS 202 / 203,18
Ministério da Saude,EQS 204/205,10
Ministério da Saude,Galeria,9
Ministério da Saude,ICC Sul,4
Ministério da Saude,INMETRO,5
Ministério da Saude,Instituto de Artes,12
Ministério da Saude,Liberty Mall,4
Ministério da Saude,Memorial JK,6
Ministério da Saude,Ministério da Cultura,25
Ministério da Saude,Ministério da Defesa,6
Ministério da Saude,Ministério da Saude,65
Ministério da Saude,Ministério do Planejamento,13
Ministério da Saude,Ministério dos Transportes,6
Ministério da Saude,PAT,12
Ministério da Saude,Praça Buriti,3
Ministério da Saude,Praça do Povo,3
Ministério da Saude,Rodoviária,187
Ministério da Saude,Rodoviária 2,387
Ministério da Saude,Rodoviária 3,82
Ministério da Saude,SAS,12
Ministério da Saude,SQN 205,7
Ministério da Saude,SQS 305,7
Ministério da Saude,SRTVS,2
Ministério da Saude,STF,18
Ministério da Saude,Setor Hoteleiro Norte,12
Ministério da Saude,Shopping Mall,19
Ministério da Saude,Shopping Pátio Brasil,9
Ministério da Saude,TSE,33
Ministério da Saude,Torre de TV,1
Ministério da Saude,W2/EQN305/306,3
Ministério do Planejamento,102 Sul,3
Ministério do Planejamento,Banco Central,25
Ministério do Planejamento,Biblioteca Central,1
Ministério do Planejamento,Brasília Shopping,2
Ministério do Planejamento,CLN 204,16
Ministério do Planejamento,CLN 403,26
Ministério do Planejamento,CLN 406,19
Ministério do Planejamento,CNMP - Conselho Nacional do Ministério Público,3
Ministério do Planejamento,Catedral Metropolitana,5
Ministério do Planejamento,Centro Olímpico,3
Ministério do Planejamento,Centro de Convenções,8
Ministério do Planejamento,EQN 104/105,3
Ministério do Planejamento,EQN 408/409,13
Ministério do Planejamento,EQN 410/411,14
Ministério do Planejamento,EQS 104/304,1
Ministério do Planejamento,EQS 202 / 203,3
Ministério do Planejamento,EQS 204/205,6
Ministério do Planejamento,Galeria,11
Ministério do Planejamento,ICC Sul,10
Ministério do Planejamento,INMETRO,4
Ministério do Planejamento,Instituto de Artes,19
Ministério do Planejamento,Liberty Mall,2
Ministério do Planejamento,Memorial JK,2
Ministério do Planejamento,Ministério da Cultura,36
Ministério do Planejamento,Ministério da Defesa,11
Ministério do Planejamento,Ministério da Saude,24
Ministério do Planejamento,Ministério do Planejamento,53
Ministério do Planejamento,Ministério dos Transportes,49
Ministério do Planejamento,PAT,7
Ministério do Planejamento,Praça Buriti,1
Ministério do Planejamento,Praça do Povo,1
Ministério do Planejamento,Rodoviária,198
Ministério do Planejamento,Rodoviária 2,58
Ministério do Planejamento,Rodoviária 3,41
Ministério do Planejamento,SAS,22
Ministério do Planejamento,SQN 205,6
Ministério do Planejamento,SQS 305,4
Ministério do Planejamento,STF,10
Ministério do Planejamento,Setor Hoteleiro Norte,8
Ministério do Planejamento,Shopping Mall,1
Ministério do Planejamento,Shopping Pátio Brasil,6
Ministério do Planejamento,TSE,4
Ministério do Planejamento,W2/EQN305/306,3
Ministério dos Transportes,102 Sul,5
Ministério dos Transportes,Banco Central,7
Ministério dos Transportes,Biblioteca Central,1
Ministério dos Transportes,Brasília Shopping,6
Ministério dos Transportes,CLN 204,7
Ministério dos Transportes,CLN 403,25
Ministério dos Transportes,CLN 406,22
Ministério dos Transportes,CNMP - Conselho Nacional do Ministério Público,2
Ministério dos Transportes,Catedral Metropolitana,31
Ministério dos Transportes,Centro Olímpico,1
Ministério dos Transportes,EQN 104/105,2
Ministério dos Transportes,EQN 408/409,2
Ministério dos Transportes,EQN 410/411,4
Ministério dos Transportes,EQS 104/304,4
Ministério dos Transportes,EQS 202 / 203,10
Ministério dos Transportes,EQS 204/205,3
Ministério dos Transportes,Galeria,6
Ministério dos Transportes,ICC Sul,6
Ministério dos Transportes,INMETRO,3
Ministério dos Transportes,Instituto de Artes,7
Ministério dos Transportes,Liberty Mall,3
Ministério dos Transportes,Memorial JK,2
Ministério dos Transportes,Ministério da Cultura,8
Ministério dos Transportes,Ministério da Defesa,11
Ministério dos Transportes,Ministério da Saude,5
Ministério dos Transportes,Ministério do Planejamento,29
Ministério dos Transportes,Ministério dos Transportes,75
Ministério dos Transportes,PAT,1
Ministério dos Transportes,Praça Buriti,1
Ministério dos Transportes,Praça do Povo,9
Ministério dos Transportes,Rodoviária,215
Ministério dos Transportes,Rodoviária 2,33
Ministério dos Transportes,Rodoviária 3,13
Ministério dos Transportes,SAS,4
Ministério dos Transportes,SQN 205,2
Ministério dos Transportes,SQS 305,7
Ministério dos Transportes,SRTVS,1
Ministério dos Transportes,STF,5
Ministério dos Transportes,Setor Hoteleiro Norte,14
Ministério dos Transportes,Shopping Mall,4
Ministério dos Transportes,Shopping Pátio Brasil,12
Ministério dos Transportes,TSE,7
Ministério dos Transportes,Torre de TV,1
Ministério dos Transportes,W2/EQN305/306,4
PAT,102 Sul,3
PAT,Biblioteca Central,68
PAT,Brasília Shopping,5
PAT,CLN 204,19
PAT,CLN 403,11
PAT,CLN 406,172
PAT,CNMP - Conselho Nacional do Ministério Público,2
PAT,Catedral Metropolitana,4
PAT,Centro Olímpico,118
PAT,Centro de Convenções,2
PAT,EQN 104/105,5
PAT,EQN 408/409,121
PAT,EQN 410/411,87
PAT,EQS 204/205,2
PAT,Galeria,4
